2011000041,01/01/2011 06:00:00,, 100 HAPPY ST,"100 Happy Street, Virginia Beach, VA 23452, USA",36.8388448,-76.10869199999999
2011000045,01/01/2011 02:26:00,, 5200 ALBRIGHT DR,"5200 Albright Drive, Virginia Beach, VA 23464, USA",36.7854581,-76.16519079999999
2011000047,01/01/2011 02:20:00,, 300 21ST ST,"300 21st Street, Virginia Beach, VA 23451, USA",36.84868,-75.97684799999999
2011000049,01/01/2011 01:50:00,, 2500 FARMWORTH TL,"Farnworth Court, Virginia Beach, VA 23452, USA",36.8325555,-76.11035670000001
2011000051,01/01/2011 02:50:00,, 800 VIRGINIA BEACH BL,"800 Virginia Beach Boulevard, Virginia Beach, VA 23451, USA",36.84384,-75.985933
2011000052,01/01/2011 02:28:00,, 2500 FARMWORTH TL,"Farnworth Court, Virginia Beach, VA 23452, USA",36.8325555,-76.11035670000001
2011000054,01/01/2011 03:26:00,, 200 INDEPENDENCE BL S,"200 South Independence Boulevard, Virginia Beach, VA 23462, USA",36.8408543,-76.1367163
2011000055,04/01/2011 01:09:00,, 1100 ATLANTIC AV,"1100 Atlantic Avenue, Virginia Beach, VA 23451, USA",36.8396006,-75.97271359999999
2011000056,01/01/2011 03:46:00,, 1500 BACK BAY LANDING RD,"1500 Back Bay Landing Road, Virginia Beach, VA 23457, USA",36.587974,-76.00288700000002
2011000060,01/01/2011 04:00:00,, 1900 TOWER BRIDGE LO,"Tower Bridge Loop, Virginia Beach, VA 23456, USA",36.7729933,-76.0399329
2011000061,01/01/2011 03:40:00,, 4700 BAY QUARTER CT,"4700 Bay Quarter Court, Virginia Beach, VA 23455, USA",36.90609980000001,-76.13489349999999
2011000062,01/01/2011 06:45:00,, 100 264 E,"3500 Virginia Beach Boulevard #100, Virginia Beach, VA 23452, USA",36.841488,-76.09338699999999
2011000063,01/01/2011 04:00:00,, 3900 ATLANTIC AV,"3900 Atlantic Avenue, Virginia Beach, VA 23451, USA",36.8666858,-75.9801763
2011000064,01/01/2011 04:36:00,, 2700 REX LA,"Virginia Beach, VA, USA",36.8529263,-75.97798499999999
2011000066,01/01/2011 05:30:00,, 1700 INDEPENDENCE BL,"1700 Independence Boulevard, Virginia Beach, VA 23455, USA",36.8948279,-76.1421079
2011000067,01/01/2011 05:45:00,, 4500 JEANNE ST,"4500 Jeanne Street, Virginia Beach, VA 23462, USA",36.848967,-76.13319899999999
2011000068,01/01/2011 07:00:00,, 100 CORAL GABLES CT,"100 Coral Gables Court, Virginia Beach, VA 23452, USA",36.8371534,-76.08632999999999
2011000069,01/01/2011 05:45:00,, 900 VIRGINIA BEACH BL,"900 Virginia Beach Boulevard, Virginia Beach, VA 23451, USA",36.8429082,-75.9883668
2011000074,01/01/2011 06:53:00,, 100 FIRST COLONIAL RD S,"100 South First Colonial Road, Virginia Beach, VA 23454, USA",36.8383021,-76.0217728
2011000076,01/01/2011 05:00:00,, 1300 EWELL RD,"1300 Ewell Road, Virginia Beach, VA 23455, USA",36.883258,-76.136127
2011000078,01/01/2011 09:05:00,, 500 PINE TOPS CT,"500 Pine Tops Court, Virginia Beach, VA 23451, USA",36.8498597,-75.9918524
2011000080,01/01/2011 09:30:00,, 200 HILL PRINCE RD,"200 Hill Prince Road, Virginia Beach, VA 23462, USA",36.83526560000001,-76.1784667
2011000082,01/01/2011 08:45:00,, 3500 CHESTER ST,"3500 Chester Street, Virginia Beach, VA 23452, USA",36.8346131,-76.0897884
2011000083,01/01/2011 09:20:00,, 2500 BUYRN CI,"2500 Buyrn Circle, Virginia Beach, VA 23453, USA",36.766966,-76.0585524
2011000086,01/01/2011 10:37:00,, 1000 DAM NECK RD,"1000 Dam Neck Road, Virginia Beach, VA 23454, USA",36.78596220000001,-75.9931568
2011000087,01/01/2011 10:45:00,, 2600 ATLANTIC AV,"2600 Atlantic Avenue, Virginia Beach, VA 23451, USA",36.854674,-75.977491
2011000088,01/01/2011 11:00:00,, 900 ITHACA CT,"900 Ithaca Court, Virginia Beach, VA 23451, USA",36.8066244,-75.9812999
2011000089,01/01/2011 10:26:00,, 5800 NORTHAMPTON BL,"5800 Northampton Boulevard, Virginia Beach, VA 23455, USA",36.88223869999999,-76.1854032
